species	dist	ObsDato	numbers	year	week	month
Pinkfoot	1542.237460007004	2016-10-21T07:45:00Z	1600	2016	43	10
Pinkfoot	700.055782458824	2016-10-21T07:45:00Z	2800	2016	43	10
Pinkfoot	7800.915195327612	2016-10-23T09:10:00Z	66	2016	43	10
Pinkfoot	13736.981902645215	2016-10-25T15:45:00Z	990	2016	43	10
Pinkfoot	13644.949103319728	2016-10-25T15:45:00Z	460	2016	43	10
Pinkfoot	9818.649400644541	2016-10-25T16:30:00Z	690	2016	43	10
Pinkfoot	7060.649379192623	2016-10-29T13:50:00Z	290	2016	44	10
Pinkfoot	8238.11798327974	2016-10-29T14:40:00Z	710	2016	44	10
Pinkfoot	7784.985308057231	2016-10-31T14:40:00Z	1020	2016	44	10
Pinkfoot	5785.224206165577	2016-11-02T08:10:00Z	145	2016	44	11
