343																		
HunterID	HunterType	HuntingDays	WeekdayHunterChance	GooseLookChance	Efficiency	HomeX	HomeY	NoFarmrefs	FarmRef1	FarmRef2	FarmRef3	FarmRef4	FarmRef5	FarmRef6	FarmRef7	FarmRef8	FarmRef9	FarmRef10
225	0	15	1	1	1	40232	-33227	2	507	279	NA	NA	NA	NA	NA	NA	NA	NA
226	0	15	1	1	1	-2334	-184901	1	403	NA	NA	NA	NA	NA	NA	NA	NA	NA
227	0	15	1	1	1	64589	23226	2	527	74	NA	NA	NA	NA	NA	NA	NA	NA
228	0	15	1	1	1	233571	-137636	1	237	NA	NA	NA	NA	NA	NA	NA	NA	NA
229	0	15	1	1	1	-6996	6572	1	367	NA	NA	NA	NA	NA	NA	NA	NA	NA
230	0	15	1	1	1	75742	59670	5	267	419	412	342	416	NA	NA	NA	NA	NA
231	0	15	1	1	1	42448	11534	2	491	319	NA	NA	NA	NA	NA	NA	NA	NA
232	0	15	1	1	1	86307	-65968	2	260	500	NA	NA	NA	NA	NA	NA	NA	NA
233	0	15	1	1	1	55798	-32639	2	535	4	NA	NA	NA	NA	NA	NA	NA	NA
234	0	15	1	1	1	-12891	-10721	2	242	64	NA	NA	NA	NA	NA	NA	NA	NA
235	0	15	1	1	1	-7657	-7119	2	439	478	NA	NA	NA	NA	NA	NA	NA	NA
236	0	15	1	1	1	72816	28480	1	63	NA	NA	NA	NA	NA	NA	NA	NA	NA
237	0	15	1	1	1	10906	-86670	2	208	529	NA	NA	NA	NA	NA	NA	NA	NA
238	0	15	1	1	1	-12635	9288	1	293	NA	NA	NA	NA	NA	NA	NA	NA	NA
239	0	15	1	1	1	81858	53490	1	73	NA	NA	NA	NA	NA	NA	NA	NA	NA
240	0	15	1	1	1	7201	-15848	2	17	433	NA	NA	NA	NA	NA	NA	NA	NA
241	0	15	1	1	1	-470	7569	5	275	8	269	342	465	NA	NA	NA	NA	NA
242	0	15	1	1	1	-8880	200	2	224	245	NA	NA	NA	NA	NA	NA	NA	NA
243	0	15	1	1	1	9184	-40765	1	444	NA	NA	NA	NA	NA	NA	NA	NA	NA
244	0	15	1	1	1	72890	7766	1	113	NA	NA	NA	NA	NA	NA	NA	NA	NA
245	0	15	1	1	1	75355	58502	5	59	500	124	29	228	NA	NA	NA	NA	NA
246	0	15	1	1	1	49442	-85073	4	391	555	151	247	NA	NA	NA	NA	NA	NA
247	0	15	1	1	1	59020	15030	2	247	139	NA	NA	NA	NA	NA	NA	NA	NA
248	0	15	1	1	1	-22081	-24781	3	477	362	525	NA	NA	NA	NA	NA	NA	NA
249	0	15	1	1	1	-7766	18805	2	326	476	NA	NA	NA	NA	NA	NA	NA	NA
250	0	15	1	1	1	-19216	-5737	5	400	492	52	499	85	NA	NA	NA	NA	NA
251	0	15	1	1	1	-1682	6325	4	45	9	478	555	NA	NA	NA	NA	NA	NA
252	0	15	1	1	1	94367	-81692	2	442	557	NA	NA	NA	NA	NA	NA	NA	NA
253	0	15	1	1	1	-2224	1830	1	209	NA	NA	NA	NA	NA	NA	NA	NA	NA
254	0	15	1	1	1	75727	-111108	3	191	146	316	NA	NA	NA	NA	NA	NA	NA
255	0	15	1	1	1	-7772	19003	2	352	32	NA	NA	NA	NA	NA	NA	NA	NA
256	0	15	1	1	1	89720	-88097	2	402	317	NA	NA	NA	NA	NA	NA	NA	NA
257	0	15	1	1	1	-9319	-51536	2	319	551	NA	NA	NA	NA	NA	NA	NA	NA
258	0	15	1	1	1	-25232	-18146	2	417	340	NA	NA	NA	NA	NA	NA	NA	NA
259	0	15	1	1	1	74192	21031	4	385	156	296	522	NA	NA	NA	NA	NA	NA
260	0	15	1	1	1	53336	20155	5	301	74	436	187	412	NA	NA	NA	NA	NA
261	0	15	1	1	1	59426	24458	5	450	514	292	484	136	NA	NA	NA	NA	NA
262	0	15	1	1	1	56809	31756	5	513	542	541	387	38	NA	NA	NA	NA	NA
