Polyref	CX	CY	Type	Area	Country Designation
31471	8556	5974	57	13	-1
31472	8699	6029	21	1538	-1
31473	9941	5970	51	1	-1
31474	3915	5979	24	129	0
31475	3979	5975	20	32	-1
31476	4140	5975	1	9	-1
31477	5269	5971	57	1	-1
31478	5454	5972	32	12	-1
31479	6604	5977	21	153	-1
31480	6596	5971	20	1	-1
31481	6916	5978	44	193	-1
31482	8561	5971	21	1	-1
31483	1309	5972	57	1	-1
31484	3945	5988	20	361	-1
31485	4142	6006	20	1106	-1
31486	4611	5972	12	1	-1
31487	6599	5972	20	1	-1
31488	6676	5975	20	102	-1
31489	1226	5973	17	1	3
31490	1312	5973	50	1	-1
31491	5357	5973	1	1	-1
31492	6592	5979	24	176	0
31493	6602	5973	20	1	-1
31494	7004	5978	57	7	-1
31495	508	5982	16	227	3
31496	1315	5974	50	1	-1
31497	4007	5974	1	11	-1
31498	5246	5994	57	77	-1
31499	6605	5974	20	1	-1
31500	8071	5974	57	1	-1
31501	9003	5991	52	133	-1
31502	427	6028	32	3785	-1
31503	1228	5977	17	6	3
31504	1318	5975	50	1	-1
31505	3532	6057	6	56247	-1
31506	3628	6039	12	530	-1
31507	4014	5989	21	845	-1
31508	4613	5975	12	1	-1
31509	4751	6088	4	34209	-1
31510	5363	5976	1	2	-1
31511	6430	5975	57	1	-1
31512	6607	5975	20	2	-1
31513	8644	5993	30	353	-1
31514	9940	5975	51	1	-1
31515	1356	5994	0	381	-1
31516	1321	5976	50	1	-1
31517	4084	5994	20	568	-1
31518	4141	5989	24	366	0
31519	6614	5977	20	9	-1
31520	6635	5977	57	3	-1
31521	8478	6234	1	1099	-1
31522	1323	5977	50	2	-1
31523	3629	6041	52	177	-1
31524	3927	5979	20	4	-1
31525	3975	5998	24	509	0
